User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Pool,Gym,Tennis court,Spa,Casino,Free internet,Member years,Hotel name,Nr. rooms,User continent,Hotel stars
Australia,15,4,6,5,1,1,1,1,1,1,0,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Oceania,4
Australia,5,3,2,5,1,1,1,1,1,1,5,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Oceania,4
UK,22,6,6,5,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
Netherlands,33,8,8,5,1,1,1,1,1,1,7,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
UK,10,6,11,5,1,1,1,1,1,1,4,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
UK,12,3,3,5,1,1,1,1,1,1,4,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
USA,50,14,24,5,1,1,0,1,1,1,7,Caesars Palace,3348,North America,5
Puerto Rico,153,38,81,5,1,1,0,1,1,1,10,Caesars Palace,3348,North America,5
Canada,14,3,12,5,1,1,0,1,1,1,2,Caesars Palace,3348,North America,5
USA,31,12,10,5,1,1,0,1,1,1,4,Caesars Palace,3348,North America,5
Canada,5,5,4,5,1,1,0,1,1,1,3,Caesars Palace,3348,North America,5
USA,14,8,4,5,1,1,0,1,1,1,1,Caesars Palace,3348,North America,5
UK,11,10,17,5,1,1,0,1,1,1,3,Caesars Palace,3348,Europe,5
USA,4,3,4,5,1,1,0,1,1,1,3,Caesars Palace,3348,North America,5
USA,10,7,7,5,1,1,0,1,1,1,3,Caesars Palace,3348,North America,5
USA,14,6,7,5,1,1,0,1,1,1,11,Caesars Palace,3348,North America,5
USA,39,12,16,5,1,1,0,1,1,1,2,Caesars Palace,3348,North America,5
Australia,35,24,43,5,1,1,0,1,1,1,4,Caesars Palace,3348,Oceania,5
Australia,12,6,3,5,1,1,0,1,1,1,1,The Cosmopolitan Las Vegas,2959,Oceania,5
UK,127,40,80,5,1,1,0,1,1,1,8,The Cosmopolitan Las Vegas,2959,Europe,5
USA,12,5,1,5,1,1,0,1,1,1,1,The Cosmopolitan Las Vegas,2959,North America,5
USA,17,17,74,5,1,1,0,1,1,1,10,The Cosmopolitan Las Vegas,2959,North America,5
USA,102,17,45,5,1,1,0,1,1,1,2,The Cosmopolitan Las Vegas,2959,North America,5
Germany,113,15,55,5,1,1,0,1,1,1,8,The Cosmopolitan Las Vegas,2959,Europe,5
Ireland,15,5,18,5,1,1,0,1,1,1,3,The Cosmopolitan Las Vegas,2959,Europe,5
Canada,41,10,56,5,1,1,0,1,1,1,4,The Cosmopolitan Las Vegas,2959,North America,5
UK,18,9,10,5,1,1,0,1,1,1,1,The Cosmopolitan Las Vegas,2959,Europe,5
Norway,6,6,7,5,1,1,0,1,1,1,7,The Cosmopolitan Las Vegas,2959,Europe,5
USA,103,5,98,5,1,1,0,1,1,1,7,The Cosmopolitan Las Vegas,2959,North America,5
UK,18,4,16,5,1,1,0,1,1,1,0,The Cosmopolitan Las Vegas,2959,Europe,5
Egypt,9,7,7,5,1,1,0,1,1,1,5,The Cosmopolitan Las Vegas,2959,Africa,5
USA,50,19,45,5,1,1,0,1,1,1,0,The Cosmopolitan Las Vegas,2959,North America,5
USA,7,3,8,5,1,1,0,1,1,1,5,The Cosmopolitan Las Vegas,2959,North America,5
USA,32,6,11,5,1,1,0,1,1,1,10,The Palazzo Resort Hotel Casino,3025,North America,5
Canada,4,0,4,5,1,1,0,1,1,1,9,The Palazzo Resort Hotel Casino,3025,North America,5
Canada,10,3,7,5,1,1,0,1,1,1,6,The Palazzo Resort Hotel Casino,3025,North America,5
Canada,36,30,80,5,1,1,0,1,1,1,8,The Palazzo Resort Hotel Casino,3025,North America,5
Canada,66,33,60,5,1,1,0,1,1,1,10,The Palazzo Resort Hotel Casino,3025,North America,5
France,17,4,8,5,1,1,0,1,1,1,0,The Palazzo Resort Hotel Casino,3025,Europe,5
UK,57,20,71,5,1,1,0,1,1,1,0,The Palazzo Resort Hotel Casino,3025,Europe,5
USA,20,11,21,5,1,1,0,1,1,1,9,The Palazzo Resort Hotel Casino,3025,North America,5
USA,93,4,8,5,1,1,0,1,1,1,2,The Palazzo Resort Hotel Casino,3025,North America,5
Canada,9,3,15,5,1,1,0,1,1,1,1,The Palazzo Resort Hotel Casino,3025,North America,5
Australia,5,3,9,5,1,1,0,1,1,1,2,The Palazzo Resort Hotel Casino,3025,Oceania,5
Singapore,37,7,10,5,1,1,0,1,1,1,0,The Palazzo Resort Hotel Casino,3025,Asia,5
USA,6,4,4,5,1,1,0,1,1,1,7,The Palazzo Resort Hotel Casino,3025,North America,5
USA,164,48,82,5,1,1,1,1,1,1,4,Wynn Las Vegas,2700,North America,5
USA,5,3,9,5,1,1,1,1,1,1,4,Wynn Las Vegas,2700,North America,5
USA,18,11,15,5,1,1,1,1,1,1,7,Wynn Las Vegas,2700,North America,5
USA,20,13,16,5,1,1,1,1,1,1,6,Wynn Las Vegas,2700,North America,5
USA,125,35,48,5,1,1,1,1,1,1,4,Wynn Las Vegas,2700,North America,5
UK,19,5,5,5,1,1,1,1,1,1,3,Wynn Las Vegas,2700,Europe,5
USA,73,27,365,5,1,1,1,1,1,1,6,Wynn Las Vegas,2700,North America,5
USA,5,4,4,5,1,1,1,1,1,1,11,Wynn Las Vegas,2700,North America,5
USA,30,10,17,5,1,1,1,1,1,1,3,Wynn Las Vegas,2700,North America,5
Canada,7,4,10,5,1,1,1,1,1,1,3,Wynn Las Vegas,2700,North America,5
Canada,67,46,99,5,1,1,1,1,1,1,6,Wynn Las Vegas,2700,North America,5
Finland,18,13,25,5,1,1,1,1,1,1,9,Wynn Las Vegas,2700,Europe,5
Canada,40,12,26,5,1,1,1,1,1,1,7,Wynn Las Vegas,2700,North America,5
UK,8,4,16,5,1,1,1,1,1,1,7,Wynn Las Vegas,2700,Europe,5
Costa Rica,15,9,3,5,1,1,1,1,1,1,2,Wynn Las Vegas,2700,North America,5
UK,2,18,14,5,1,1,1,1,1,1,8,Wynn Las Vegas,2700,Europe,5
UK,10,6,10,5,1,1,1,1,1,1,5,Wynn Las Vegas,2700,Europe,5
USA,16,13,55,5,1,1,1,1,1,1,9,Wynn Las Vegas,2700,North America,5
UK,21,7,13,5,1,1,0,1,1,1,10,Trump International Hotel Las Vegas,1282,Europe,5
India,69,58,41,5,1,1,0,1,1,1,5,Trump International Hotel Las Vegas,1282,Asia,5
USA,33,13,8,5,1,1,0,1,1,1,5,Trump International Hotel Las Vegas,1282,North America,5
USA,1,0,2,5,1,1,0,1,1,1,0,Trump International Hotel Las Vegas,1282,North America,5
USA,49,8,23,5,1,1,0,1,1,1,5,Trump International Hotel Las Vegas,1282,North America,5
USA,1,0,1,5,1,1,0,1,1,1,0,Trump International Hotel Las Vegas,1282,North America,5
Brazil,7,4,8,5,1,1,0,1,1,1,7,Trump International Hotel Las Vegas,1282,South America,5
USA,38,18,16,5,1,1,0,1,1,1,8,Trump International Hotel Las Vegas,1282,North America,5
USA,48,14,30,5,1,1,0,1,1,1,9,Trump International Hotel Las Vegas,1282,North America,5
Canada,136,20,55,5,1,1,0,1,1,1,3,Trump International Hotel Las Vegas,1282,North America,5
USA,78,17,24,5,1,1,0,1,1,1,5,Trump International Hotel Las Vegas,1282,North America,5
UK,24,18,12,5,1,1,0,1,1,1,0,Trump International Hotel Las Vegas,1282,Europe,5
Ireland,4,3,3,5,1,1,0,1,1,1,11,Trump International Hotel Las Vegas,1282,Europe,5
Australia,11,7,17,5,1,1,0,1,1,1,2,Trump International Hotel Las Vegas,1282,Oceania,5
USA,53,25,24,5,1,1,0,1,1,1,3,Trump International Hotel Las Vegas,1282,North America,5
USA,26,6,12,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,4,4,0,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,17,14,70,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Canada,3,0,1,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,235,111,267,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,59,9,21,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,2,0,2,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,2,0,1,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,21,18,53,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Netherlands,184,52,70,5,1,0,0,0,1,1,Europe,The Cromwell,5,188,4
USA,69,11,17,5,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Norway,25,10,16,5,1,0,0,0,1,1,Europe,The Cromwell,5,188,4
USA,46,12,87,5,1,1,0,1,1,1,3,Encore at wynn Las Vegas,2034,North America,5
USA,15,5,12,5,1,1,0,1,1,1,4,Encore at wynn Las Vegas,2034,North America,5
USA,16,14,23,5,1,1,0,1,1,1,7,Encore at wynn Las Vegas,2034,North America,5
USA,35,12,3,5,1,1,0,1,1,1,2,Encore at wynn Las Vegas,2034,North America,5
UK,139,20,86,5,1,1,0,1,1,1,5,Encore at wynn Las Vegas,2034,Europe,5
UK,28,12,30,5,1,1,0,1,1,1,2,Encore at wynn Las Vegas,2034,Europe,5
USA,4,3,5,5,1,1,0,1,1,1,3,Encore at wynn Las Vegas,2034,North America,5
USA,32,11,14,5,1,1,0,1,1,1,3,Encore at wynn Las Vegas,2034,North America,5
UK,9,3,4,5,1,1,0,1,1,1,1,Encore at wynn Las Vegas,2034,Europe,5
USA,333,58,200,5,1,1,0,1,1,1,4,Encore at wynn Las Vegas,2034,North America,5
USA,29,11,15,5,1,1,0,1,1,1,6,Encore at wynn Las Vegas,2034,North America,5
UK,85,43,68,5,1,1,0,1,1,1,5,Encore at wynn Las Vegas,2034,Europe,5
USA,12,5,1,5,1,1,0,1,1,1,5,Encore at wynn Las Vegas,2034,North America,5
India,13,7,8,5,1,1,0,1,1,1,5,Encore at wynn Las Vegas,2034,Asia,5
USA,5,5,14,5,1,1,0,1,1,1,5,Encore at wynn Las Vegas,2034,North America,5
USA,169,25,41,5,1,1,0,1,1,1,8,Encore at wynn Las Vegas,2034,North America,5
USA,11,10,6,5,1,1,0,1,1,1,7,Encore at wynn Las Vegas,2034,North America,5
USA,4,3,2,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
Mexico,10,3,1,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
Canada,7,4,4,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
UK,60,7,42,5,1,1,0,1,1,1,Europe,Hilton Grand Vacations on the Boulevard,5,1228,3
Brazil,37,31,38,5,1,1,0,1,1,1,South America,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,9,3,4,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,11,6,7,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
UK,10,0,9,5,1,1,0,1,1,1,Europe,Hilton Grand Vacations on the Boulevard,5,1228,3
UK,48,21,19,5,1,1,0,1,1,1,Europe,Hilton Grand Vacations on the Boulevard,5,1228,3
Canada,112,34,41,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,28,17,14,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,42,11,36,5,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,84,18,36,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
USA,21,13,20,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
Germany,118,107,131,5,1,1,0,0,1,1,Europe,Marriott's Grand Chateau,5,732,3
Canada,6,0,8,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
USA,6,5,6,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
Australia,11,0,5,5,1,1,0,0,1,1,Oceania,Marriott's Grand Chateau,5,732,3
USA,75,37,48,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
Denmark,240,76,115,5,1,1,0,0,1,1,Europe,Marriott's Grand Chateau,5,732,3
Taiwan,20,12,7,5,1,1,0,0,1,1,Asia,Marriott's Grand Chateau,5,732,3
Israel,62,40,25,5,1,1,0,0,1,1,Asia,Marriott's Grand Chateau,5,732,3
Hawaii,88,19,58,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
USA,6,3,5,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
Mexico,159,43,78,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
USA,42,9,13,5,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
USA,167,71,119,5,1,1,1,1,1,1,8,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,25,5,12,5,1,1,1,1,1,1,8,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,608,117,319,5,1,1,1,1,1,1,5,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,5,4,3,5,1,1,1,1,1,1,8,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,26,17,34,5,1,1,1,1,1,1,7,Tuscany Las Vegas Suites & Casino,716,North America,3
Brazil,11,5,9,5,1,1,1,1,1,1,7,Tuscany Las Vegas Suites & Casino,716,South America,3
Malaysia,119,20,46,5,1,1,1,1,1,1,1,Tuscany Las Vegas Suites & Casino,716,Asia,3
Germany,55,55,134,5,1,1,1,1,1,1,5,Tuscany Las Vegas Suites & Casino,716,Europe,3
Australia,27,15,16,5,1,1,1,1,1,1,5,Tuscany Las Vegas Suites & Casino,716,Oceania,3
USA,13,4,6,5,1,1,1,1,1,1,0,Tuscany Las Vegas Suites & Casino,716,North America,3
Canada,38,12,17,5,1,1,1,1,1,1,7,Tuscany Las Vegas Suites & Casino,716,North America,3
Canada,9,8,5,5,1,1,1,1,1,1,4,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,13,4,4,5,1,1,1,1,1,1,5,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,8,3,3,5,1,1,0,0,0,1,3,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,66,13,21,5,1,1,0,0,0,1,9,Hilton Grand Vacations at the Flamingo,315,North America,3
Hawaii,9,7,4,5,1,1,0,0,0,1,2,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,31,11,24,5,1,1,0,0,0,1,2,Hilton Grand Vacations at the Flamingo,315,North America,3
Canada,45,6,22,5,1,1,0,0,0,1,3,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,23,23,11,5,1,1,0,0,0,1,1,Hilton Grand Vacations at the Flamingo,315,North America,3
Canada,56,18,24,5,1,1,0,0,0,1,4,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,13,7,1,5,1,1,0,0,0,1,4,Hilton Grand Vacations at the Flamingo,315,North America,3
Mexico,3,3,3,5,1,1,0,0,0,1,2,Hilton Grand Vacations at the Flamingo,315,North America,3
Australia,21,11,13,5,1,1,1,0,0,1,Oceania,Wyndham Grand Desert,5,787,3
USA,60,11,33,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
Canada,12,4,15,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,27,12,51,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
Canada,69,22,38,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,16,4,7,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
UK,35,17,27,5,1,1,1,0,0,1,Europe,Wyndham Grand Desert,5,787,3
India,23,12,7,5,1,1,1,0,0,1,Asia,Wyndham Grand Desert,5,787,3
UK,6,3,14,5,1,1,1,0,0,1,Europe,Wyndham Grand Desert,5,787,3
Canada,12,4,6,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,14,3,14,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
Canada,101,35,46,5,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,20,6,9,5,1,1,0,1,1,1,0,The Venetian Las Vegas Hotel,4027,North America,5
Mexico,1,0,2,5,1,1,0,1,1,1,0,The Venetian Las Vegas Hotel,4027,North America,5
USA,19,7,5,5,1,1,0,1,1,1,5,The Venetian Las Vegas Hotel,4027,North America,5
Israel,116,78,206,5,1,1,0,1,1,1,9,The Venetian Las Vegas Hotel,4027,Asia,5
UK,20,3,9,5,1,1,0,1,1,1,0,The Venetian Las Vegas Hotel,4027,Europe,5
USA,7,5,6,5,1,1,0,1,1,1,1,The Venetian Las Vegas Hotel,4027,North America,5
USA,95,34,46,5,1,1,0,1,1,1,6,The Venetian Las Vegas Hotel,4027,North America,5
Canada,19,8,24,5,1,1,0,1,1,1,10,The Venetian Las Vegas Hotel,4027,North America,5
UK,21,6,15,5,1,1,0,1,1,1,3,The Venetian Las Vegas Hotel,4027,Europe,5
UK,56,11,14,5,1,1,0,1,1,1,5,The Venetian Las Vegas Hotel,4027,Europe,5
UK,29,7,15,5,1,1,0,1,1,1,7,The Venetian Las Vegas Hotel,4027,Europe,5
Brazil,20,0,8,5,1,1,0,1,1,1,2,The Venetian Las Vegas Hotel,4027,South America,5
Switzerland,9,6,3,5,1,1,0,1,1,1,5,The Venetian Las Vegas Hotel,4027,Europe,5
Australia,43,38,29,5,1,1,0,1,1,1,4,The Venetian Las Vegas Hotel,4027,Oceania,5
Singapore,16,10,11,5,1,1,0,1,1,1,9,The Venetian Las Vegas Hotel,4027,Asia,5
USA,15,3,13,5,1,1,0,1,1,1,5,Bellagio Las Vegas,3933,North America,5
USA,41,9,111,5,1,1,0,1,1,1,1,Bellagio Las Vegas,3933,North America,5
India,44,35,53,5,1,1,0,1,1,1,6,Bellagio Las Vegas,3933,Asia,5
Ireland,23,10,18,5,1,1,0,1,1,1,4,Bellagio Las Vegas,3933,Europe,5
UK,15,6,17,5,1,1,0,1,1,1,1,Bellagio Las Vegas,3933,Europe,5
UK,5,0,5,5,1,1,0,1,1,1,0,Bellagio Las Vegas,3933,Europe,5
USA,28,5,23,5,1,1,0,1,1,1,5,Bellagio Las Vegas,3933,North America,5
Scotland,102,25,37,5,1,1,0,1,1,1,6,Bellagio Las Vegas,3933,Europe,5
Ireland,13,3,2,5,1,1,0,1,1,1,6,Bellagio Las Vegas,3933,Europe,5
UK,26,22,42,5,1,1,0,1,1,1,5,Bellagio Las Vegas,3933,Europe,5
UK,26,18,43,5,1,1,0,1,1,1,4,Bellagio Las Vegas,3933,Europe,5
Canada,17,10,39,5,1,1,0,1,1,1,3,Bellagio Las Vegas,3933,North America,5
Canada,19,3,12,5,1,1,0,1,1,1,1,Paris Las Vegas,2916,North America,4
USA,14,7,6,5,1,1,0,1,1,1,2,Paris Las Vegas,2916,North America,4
USA,9,5,4,5,1,1,0,1,1,1,6,Paris Las Vegas,2916,North America,4
Australia,30,12,38,5,1,1,0,1,1,1,4,Paris Las Vegas,2916,Oceania,4
Egypt,85,37,65,5,1,1,0,1,1,1,4,Paris Las Vegas,2916,Africa,4
USA,73,7,26,5,1,1,0,1,1,1,3,Paris Las Vegas,2916,North America,4
Canada,13,6,13,5,1,1,0,1,1,1,2,Paris Las Vegas,2916,North America,4
USA,6,4,6,5,1,1,0,1,1,1,0,Paris Las Vegas,2916,North America,4
USA,24,3,5,5,1,1,0,1,1,1,0,Paris Las Vegas,2916,North America,4
Canada,123,26,63,5,1,1,0,1,1,1,4,Paris Las Vegas,2916,North America,4
USA,33,11,12,5,1,1,0,1,1,1,4,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,14,7,13,5,1,1,0,1,1,1,4,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,9,8,1,5,1,1,0,1,1,1,6,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,30,27,19,5,1,1,0,1,1,1,6,The Westin las Vegas Hotel Casino & Spa,826,North America,4
UK,35,3,25,5,1,1,0,1,1,1,1,The Westin las Vegas Hotel Casino & Spa,826,Europe,4
UK,15,4,8,5,1,1,0,1,1,1,1,The Westin las Vegas Hotel Casino & Spa,826,Europe,4
UK,14,7,14,4,0,1,0,0,1,1,6,Circus Circus Hotel & Casino Las Vegas,3773,Europe,3
Canada,5,5,2,4,0,1,0,0,1,1,7,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
UK,45,12,46,4,0,1,0,0,1,1,4,Circus Circus Hotel & Casino Las Vegas,3773,Europe,3
USA,2,1,4,4,0,1,0,0,1,1,0,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
India,24,3,8,4,0,1,0,0,1,1,3,Circus Circus Hotel & Casino Las Vegas,3773,Asia,3
New Zeland,146,17,33,4,0,1,0,0,1,1,2,Circus Circus Hotel & Casino Las Vegas,3773,Oceania,3
USA,9,3,1,4,0,1,0,0,1,1,2,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
UK,10,5,2,4,0,1,0,0,1,1,7,Circus Circus Hotel & Casino Las Vegas,3773,Europe,3
UK,18,7,19,4,0,1,0,0,1,1,0,Circus Circus Hotel & Casino Las Vegas,3773,Europe,3
Ireland,29,11,15,4,1,1,0,1,1,1,3,Excalibur Hotel & Casino,3981,Europe,3
USA,114,42,52,4,1,1,0,1,1,1,11,Excalibur Hotel & Casino,3981,North America,3
Australia,58,9,15,4,1,1,0,1,1,1,0,Excalibur Hotel & Casino,3981,Oceania,3
USA,70,27,24,4,1,1,0,1,1,1,6,Excalibur Hotel & Casino,3981,North America,3
Kenya,6,3,7,4,1,1,0,1,1,1,1,Excalibur Hotel & Casino,3981,Africa,3
USA,290,263,299,4,1,1,0,1,1,1,10,Excalibur Hotel & Casino,3981,North America,3
Ireland,47,6,27,4,1,1,0,1,1,1,5,Excalibur Hotel & Casino,3981,Europe,3
USA,35,8,19,4,1,1,0,1,1,1,6,Excalibur Hotel & Casino,3981,North America,3
UK,6,0,4,4,1,1,0,1,1,1,1,Excalibur Hotel & Casino,3981,Europe,3
UK,74,47,54,4,1,1,0,1,1,1,7,Excalibur Hotel & Casino,3981,Europe,3
USA,20,8,11,4,1,1,0,1,1,0,5,Monte Carlo Resort&Casino,3003,North America,4
USA,73,13,22,4,1,1,0,1,1,0,2,Monte Carlo Resort&Casino,3003,North America,4
USA,63,15,17,4,1,1,0,1,1,0,2,Monte Carlo Resort&Casino,3003,North America,4
Australia,20,7,11,4,1,1,0,1,1,0,2,Monte Carlo Resort&Casino,3003,Oceania,4
UK,41,7,24,4,1,1,0,1,1,0,3,Monte Carlo Resort&Casino,3003,Europe,4
Ireland,7,5,7,4,1,1,0,1,1,0,9,Monte Carlo Resort&Casino,3003,Europe,4
Canada,13,9,15,4,1,1,0,1,1,0,1,Monte Carlo Resort&Casino,3003,North America,4
UK,10,5,4,4,1,1,0,1,1,0,1,Monte Carlo Resort&Casino,3003,Europe,4
Ireland,19,17,16,4,1,1,0,1,1,0,5,Monte Carlo Resort&Casino,3003,Europe,4
Hungary,8,5,8,4,1,1,0,1,1,0,8,Monte Carlo Resort&Casino,3003,Europe,4
Australia,11,5,8,4,1,1,1,1,1,1,1,Treasure Island- TI Hotel & Casino,2884,Oceania,4
Canada,19,12,167,4,1,1,1,1,1,1,9,Treasure Island- TI Hotel & Casino,2884,North America,4
USA,43,8,20,4,1,1,1,1,1,1,1,Treasure Island- TI Hotel & Casino,2884,North America,4
Canada,12,8,3,4,1,1,1,1,1,1,2,Treasure Island- TI Hotel & Casino,2884,North America,4
USA,15,14,7,4,1,1,1,1,1,1,9,Treasure Island- TI Hotel & Casino,2884,North America,4
Germany,10,0,5,4,1,1,1,1,1,1,3,Treasure Island- TI Hotel & Casino,2884,Europe,4
Canada,6,5,5,4,1,1,1,1,1,1,2,Treasure Island- TI Hotel & Casino,2884,North America,4
Malaysia,43,14,27,4,1,1,1,1,1,1,5,Treasure Island- TI Hotel & Casino,2884,Asia,4
Mexico,97,31,37,4,1,1,1,1,1,1,8,Treasure Island- TI Hotel & Casino,2884,South America,4
UK,7,3,4,4,1,1,1,1,1,1,5,Treasure Island- TI Hotel & Casino,2884,Europe,4
USA,78,11,30,4,1,1,1,1,1,1,2,Treasure Island- TI Hotel & Casino,2884,North America,4
Australia,27,9,8,4,1,1,1,1,1,1,2,Treasure Island- TI Hotel & Casino,2884,Oceania,4
Canada,12,3,7,4,1,1,1,1,1,1,4,Treasure Island- TI Hotel & Casino,2884,North America,4
UK,34,17,30,4,1,1,1,1,1,1,8,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
Canada,13,3,8,4,1,1,1,1,1,1,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,North America,4
UK,14,4,9,4,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
India ,88,15,103,4,1,1,1,1,1,1,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Asia,4
New Zeland,8,4,0,4,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Oceania,4
UK,130,41,61,4,1,1,1,1,1,1,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
Australia,79,78,105,4,1,1,1,1,1,1,7,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Oceania,4
UK,13,10,16,4,1,1,1,1,1,1,10,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
UK,18,6,17,4,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
India,31,8,11,4,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Asia,4
USA,161,33,85,4,1,1,0,1,1,1,3,Caesars Palace,3348,North America,5
